state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Aruba
Afghanistan
Angola
Anguilla
Albania
Åland Islands
Andorra
United Arab Emirates
Argentina
Armenia
American Samoa
Antarctica
Australia
French Southern Territories
Antigua and Barbuda
Australia
Australia
Azerbaijan
Burundi
Belgium
Benin
Burkina Faso
Bangladesh
Bulgaria
Bahrain
Bahamas
Bosnia and Herzegovina
Saint Barthélemy
Belarus
Belize
Bermuda
Bolivia, Plurinational State of
Brazil
Barbados
Brunei Darussalam
Bhutan
Botswana
Central African Republic
